hop_name	hop_purpose	country	link	Citrus	TropicalFruit	StoneFruit	Berry	Floral	Grassy	Herbal	Spice	Pine	aroma_tags
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	3	3	3	2	0	1	0	2	1	#tropical_fruit, #sweet, #peach, #white_wine, #melon, #grassy, #grapefruit, #honey
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	3	3	2	2	2	1	1	0	2	#citrus, #pine, #mandarin
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	3	4	3	3	3	1	1	2	2	#floral, #spicy, #grapefruit, #tropical_fruit, #noble, #anise
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	3	3	1	0	2	1	0	1	0	#tropical_fruit, #berry, #stone_fruit, #raspberry, #redcurrant, #white_wine
Feux-Coeur Francais	Bittering	Australia	https://beermaverick.com/hop/feux-coeur-francais/	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Galaxy	Dual	Australia	https://beermaverick.com/hop/galaxy/	4	3	1	0	2	1	0	0	1	#passion_fruit, #citrus, #peach, #pineapple, #tropical_fruit, #cannabis, #dank
Helga	Aroma	Australia	https://beermaverick.com/hop/helga/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#noble
HPA-016	Aroma	Australia	https://beermaverick.com/hop/hpa-016/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#mandarin, #citrus, #pine, #fruity
Melba	Aroma	Australia	https://beermaverick.com/hop/melba/	3	4	4	2	0	0	0	1	0	#passion_fruit, #grapefruit, #citrus, #spicy
Pride of Ringwood	Bittering	Australia	https://beermaverick.com/hop/pride-of-ringwood/	3	3	3	3	0	0	3	3	2	#cedar, #oak, #herbal
Summer	Aroma	Australia	https://beermaverick.com/hop/summer/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#apricot, #melon, #grassy, #citrus, #stone_fruit, #passion_fruit, #peach
Super Pride	Dual	Australia	https://beermaverick.com/hop/super-pride/	1	0	0	0	2	0	2	4	2	#resin, #fruity, #mild
Sylva	Aroma	Australia	https://beermaverick.com/hop/sylva/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#floral, #bohemian, #hoppy, #woody
Topaz	Dual	Australia	https://beermaverick.com/hop/topaz/	2	2	2	2	0	0	0	0	2	#lychee, #clove, #resin, #grassy, #tropical_fruit, #pine, #passion_fruit
Vic Secret	Dual	Australia	https://beermaverick.com/hop/vic-secret/	3	2	0	0	0	0	0	0	0	#tropical_fruit, #pineapple, #pine, #passion_fruit, #herbal, #earthy
Vienna Gold	Dual	Australia	https://beermaverick.com/hop/vienna-gold/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#noble, #fruity, #passion_fruit
Canadian Redvine	Aroma	Canada	https://beermaverick.com/hop/canadian-redvine/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#cherry, #berry, #pine, #grapefruit
Lumberjack	Dual	Canada	https://beermaverick.com/hop/lumberjack/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#melon, #citrus, #spices, #clove, #allspice, #bitter, #earthy
Sasquatch	Dual	Canada	https://beermaverick.com/hop/sasquatch/	3	2	3	1	2	1	3	3	3	#tangerine, #lemon, #floral, #orange, #mint, #citrus
