hop_name	hop_purpose	country	link	brew_value	range_min	range_max	range_mean
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	Alpha Acid %	7	10	8.5
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	Beta Acid %	4	6	5
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	Alpha-Beta Ratio	1	3	2
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	Co-Humulone as % of Alpha	26	28	27
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	Total Oils (mL/100g)	1	3	2
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	Myrcene	NA	NA	NA
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	Humulene	6	8	7
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	Caryophyllene	2	3	2.5
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	Farnesene	NA	NA	NA
Astra	Dual	Australia	https://beermaverick.com/hop/astra/	All Others	89	92	92
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	Alpha Acid %	15.7	19	17.4
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	Beta Acid %	5.9	9	7.5
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	Alpha-Beta Ratio	2	3	2
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	Co-Humulone as % of Alpha	33	37	35
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	Total Oils (mL/100g)	1.8	2.7	2.3
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	Myrcene	35	49	42
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	Humulene	0	2	1
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	Caryophyllene	6	12	9
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	Farnesene	0	1	0.5
Eclipse	Dual	Australia	https://beermaverick.com/hop/eclipse/	All Others	36	59	59
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	Alpha Acid %	13.3	19.2	16.3
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	Beta Acid %	4	7.8	5.9
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	Alpha-Beta Ratio	2	5	3
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	Co-Humulone as % of Alpha	33	40	36.5
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	Total Oils (mL/100g)	2.4	3.4	2.9
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	Myrcene	34	50	42
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	Humulene	15	22	18.5
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	Caryophyllene	5	18	11.5
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	Farnesene	12	14	13
Ella	Dual	Australia	https://beermaverick.com/hop/ella/	All Others	0	34	34
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	Alpha Acid %	13.5	19.4	16.5
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	Beta Acid %	4.5	7.1	5.8
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	Alpha-Beta Ratio	2	4	3
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	Co-Humulone as % of Alpha	37	43	40
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	Total Oils (mL/100g)	1.8	3	2.4
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	Myrcene	23	30	26.5
Enigma	Aroma	Australia	https://beermaverick.com/hop/enigma/	Humulene	12	19	15.5
